ts,open,high,low,close,volume
1785703500000,63431.14,63501.48,63414.01,63494.52,50.55452
1785704400000,63494.51,63571.98,63479.45,63527.45,93.00068
1785705300000,63527.45,63553.12,63512.0,63542.85,53.74943
1785706200000,63542.85,63781.69,63508.6,63704.01,162.13223
1785707100000,63704.01,63785.0,63548.7,63578.0,148.39522
1785708000000,63578.01,63796.33,63578.01,63696.27,151.09509
1785708900000,63696.27,63790.94,63572.23,63591.99,108.2341
1785709800000,63592.0,63600.39,63376.71,63518.01,159.46592
1785710700000,63518.0,63572.5,63424.0,63424.58,65.34579
1785711600000,63424.58,63457.5,63344.0,63363.99,91.73387
1785712500000,63363.99,63546.88,63344.0,63542.65,128.07208
1785713400000,63542.65,63596.0,63490.0,63523.33,56.72047
1785714300000,63523.34,63575.19,63486.01,63570.0,61.14656
1785715200000,63570.01,63596.0,63390.0,63425.05,97.5877
1785716100000,63425.05,63442.0,63250.04,63262.84,116.30809
1785717000000,63262.84,63425.97,63208.3,63331.81,88.28269
1785717900000,63331.81,63352.0,63271.2,63317.6,55.14494
1785718800000,63317.61,63350.0,63180.0,63221.18,96.81693
1785719700000,63221.19,63260.0,63111.1,63175.99,112.42212
1785720600000,63175.99,63248.0,63160.66,63219.31,72.91849
1785721500000,63219.32,63230.0,63162.0,63212.16,90.15564
1785722400000,63212.16,63233.29,63138.93,63205.31,72.05025
1785723300000,63205.31,63286.0,63100.0,63128.0,96.3039
1785724200000,63128.01,63216.79,63108.33,63180.4,80.88507
1785725100000,63180.39,63196.0,63120.01,63141.4,84.95037
1785726000000,63141.39,63168.44,63100.0,63116.0,66.48409
1785726900000,63116.0,63138.37,63062.98,63080.01,103.45743
1785727800000,63080.01,63089.98,63039.99,63062.93,98.6563
1785728700000,63062.93,63065.89,62786.04,62870.49,247.86641
1785729600000,62870.48,62938.55,62816.34,62865.93,116.58446
1785730500000,62865.93,62978.11,62865.92,62972.67,51.17981
1785731400000,62972.67,63001.77,62965.0,62981.99,63.96012
1785732300000,62981.99,62982.0,62770.37,62790.0,88.69324
1785733200000,62790.0,62871.13,62751.3,62852.01,129.52292
1785734100000,62852.01,62875.02,62802.0,62816.0,255.44536
1785735000000,62816.01,62849.98,62774.88,62808.75,76.42435
1785735900000,62808.75,62862.92,62807.67,62827.17,85.29943
1785736800000,62827.17,62872.58,62823.2,62846.0,65.56355
1785737700000,62846.01,62850.0,62759.82,62793.17,81.11909
1785738600000,62793.17,62841.01,62640.0,62640.01,141.45792
1785739500000,62640.01,62683.5,62613.0,62623.6,108.17785
1785740400000,62623.6,62676.85,62592.0,62599.99,629.92463
1785741300000,62599.99,62674.64,62552.04,62639.96,237.66196
1785742200000,62639.95,62700.0,62603.1,62643.92,133.73697
1785743100000,62643.93,62675.31,62580.47,62621.1,263.40471
1785744000000,62621.1,62647.69,62516.01,62566.01,83.25688
1785744900000,62566.01,62569.3,62326.0,62340.01,254.60838
1785745800000,62340.0,62439.36,62300.0,62439.35,196.22958
1785746700000,62439.36,62541.5,62436.23,62541.5,123.23638
1785747600000,62541.5,62590.2,62520.0,62571.24,206.73227
1785748500000,62571.25,62667.04,62571.25,62653.36,95.18715
1785749400000,62653.36,62707.5,62628.0,62692.49,104.78467
1785750300000,62692.48,62863.1,62692.48,62837.4,178.70666
1785751200000,62837.4,62860.0,62766.66,62788.01,107.41963
1785752100000,62788.01,62833.68,62742.01,62742.02,153.1931
1785753000000,62742.02,62742.02,62674.0,62708.86,75.51549
1785753900000,62708.86,62782.0,62615.11,62742.01,107.68113
1785754800000,62742.01,62744.0,62585.16,62646.02,68.10254
1785755700000,62646.01,62773.99,62640.0,62704.09,59.70978
1785756600000,62704.09,62778.92,62669.86,62697.4,53.42668
1785757500000,62697.4,62700.0,62540.95,62560.01,101.02551
1785758400000,62560.01,62612.0,62445.26,62555.59,156.00757
1785759300000,62555.6,62694.0,62550.0,62630.93,99.4507
1785760200000,62630.92,62767.32,62614.99,62767.32,100.22948
1785761100000,62767.32,62799.3,62690.88,62700.0,81.54488
1785762000000,62700.01,62786.81,62700.0,62782.46,110.27168
1785762900000,62782.46,62998.0,62720.01,62769.0,192.00617
1785763800000,62769.0,62940.0,62562.42,62928.57,367.61184
1785764700000,62928.57,63390.0,62810.93,63351.09,451.50164
1785765600000,63351.09,63444.0,63136.0,63320.65,354.94712
1785766500000,63320.66,63795.0,63170.0,63766.01,704.62291
1785767400000,63766.0,63910.0,63631.11,63783.15,764.47113
1785768300000,63783.14,63992.71,63659.06,63967.19,563.78267
1785769200000,63967.19,63989.75,63764.18,63821.23,509.31869
1785770100000,63821.24,63862.37,63680.0,63715.08,316.51708
1785771000000,63715.07,63910.0,63709.27,63791.7,325.03996
1785771900000,63791.7,63848.0,63646.59,63694.91,217.66231
1785772800000,63694.9,63897.64,63664.0,63807.58,359.3697
1785773700000,63807.58,63939.99,63802.0,63903.78,193.63881
1785774600000,63903.78,63903.78,63710.71,63766.8,120.31783
1785775500000,63766.88,63879.94,63744.0,63776.46,126.75316
1785776400000,63776.46,63863.48,63714.55,63850.0,101.17994
1785777300000,63849.99,64059.75,63816.0,63828.0,300.08161
